Orden,Fase,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Descripción Detallada,Nivel Dificultad,Dependencias,Modelo Pricing Referencia,IA Planificación (Ask Mode),IA Ejecución (Agent Mode),IA Corrección
1,Fase 1: Ingesta (El Ojo),1.01,01 Cimientos,Init Next.js 16.1 & TS,Alta,Listo,3.0,"Inicialización Next.js 16.1 con TypeScript + Tailwind + App Router + Turbopack.",Media,,-,-,-,
2,Fase 1: Ingesta (El Ojo),1.02,01 Cimientos,Shadcn/UI v2 Setup,Alta,Listo,3.0,"Shadcn/UI v2 con tema legal profesional. Shell de aplicación para Dashboard y Extensión.",Media,,-,-,-,
3,Fase 1: Ingesta (El Ojo),4.01,04 Scraper,Extension Init (V3),Alta,Listo,6.0,"Chrome Extension Manifest V3 con SidePanel API. Interfaz principal del producto activada en pjud.cl.",Media,,-,-,-,
4,Fase 1: Ingesta (El Ojo),1.03,01 Cimientos,Supabase Auth & Config,Alta,Listo,2.0,"Supabase SSR Auth con middleware + persistencia de sesión entre Extensión y Dashboard.",Media,,-,-,-,
5,Fase 1: Ingesta (El Ojo),2.01,02 Storage,Bucket de Expedientes,Alta,Listo,3.0,"Bucket 'case-files' con RLS policies. Permite subida desde Extensión.",Media,,-,-,-,
6,Fase 1: Ingesta (El Ojo),1.04,01 Cimientos,SQL: Perfiles & RLS,Alta,Listo,7.5,"Tabla profiles con plan_type y contadores mensuales por capa. device_fingerprint para anti-multicuentas. RLS completo.",Alta,,-,-,-,
7,Fase 1: Ingesta (El Ojo),4.03,04 Scraper,Direct Upload API,Alta,Listo,6.0,"API Route /api/upload: recibe PDF blobs desde Extensión → Storage + DB. Race condition protegida por UNIQUE constraint.",Media,,-,-,-,
8,Fase 1: Ingesta (El Ojo),4.06,04 Scraper,Scraper Remote Config,Alta,Listo,3.0,"API Route /api/scraper/config: selectores CSS dinámicos + URL patterns. Soluciona el Ciclo de la Muerte.",Media,,-,-,-,
9,Fase 1: Ingesta (El Ojo),4.07,04 Scraper,Causa Context Detector (ROL Parser),Alta,Listo,5.0,"Detecta ROL desde URL + DOM + breadcrumbs. Causa se identifica por ROL + Tribunal + Carátula. Requiere confirmación.",Alta,,-,-,-,
10,Fase 1: Ingesta (El Ojo),4.08,04 Scraper,Scraper Resiliente Layers 1 & 2,Alta,Listo,8.0,"Layer 1: Network Interceptor. Layer 2: Smart DOM Analyzer. Layer 3: Manual Drag-Drop fallback.",Muy Alta,,-,-,-,
11,Fase 1: Ingesta (El Ojo),4.09,04 Scraper,PDF Validator & Causa Filter,Alta,Listo,4.0,"5 filtros: Tamaño → Origen URL → Magic bytes → SHA-256 dedup → ROL tagging + tipo documento.",Alta,,-,-,-,
12,Fase 1: Ingesta (El Ojo),4.10,04 Scraper,Human Throttle & Anti-WAF,Alta,Listo,3.0,"Delays gaussianos Box-Muller. Burst protection. Simulación completa de mouse events.",Media,,-,-,-,
13,Fase 1: Ingesta (El Ojo),4.11,04 Scraper,Sync UI & User Confirmation Flow,Alta,Listo,6.0,"Sidepanel: ROL auto-detectado → Preview → Sincronizar (1 click) → Progreso → Resultado.",Alta,,-,-,-,
14,Fase 1: Ingesta (El Ojo),4.12,04 Scraper,SQL: Document Hashes Table,Alta,Listo,2.0,"Tabla document_hashes con UNIQUE(user_id + hash). Deduplicación server-side persistente.",Media,,-,-,-,
15,Fase 1: Ingesta (El Ojo),4.13,04 Scraper,Re-Sync Awareness & Sync Incremental,Alta,Listo,7.0,"Consciencia de sync previo. Delta docs nuevos vs existentes. Advertencia si docs faltantes. Sync incremental.",Alta,,-,-,-,
16,Fase 2: Digestión (Pipeline),7.01,07 Pipeline,SQL: UNIQUE Constraint Cases,Alta,Listo,5.0,"UNIQUE INDEX en cases(user_id + rol + COALESCE(tribunal) + COALESCE(caratula)). Migración 20260213140000. Upload route con manejo de constraint violation.",Alta,4.12,-,-,-,
17,Fase 2: Digestión (Pipeline),7.02,07 Pipeline,SQL: Tabla extracted_texts + document_chunks,Alta,Listo,4.0,"Dos tablas nuevas. 1) extracted_texts: texto plano extraído por PDF (document_id FK + full_text + extraction_method ['pdf-parse'|'document-ai'] + page_count + status). 2) document_chunks: fragmentos para RAG (extracted_text_id FK + case_id FK + chunk_index + chunk_text + page_number + section_type + metadata JSONB). RLS por user_id. Índices en case_id y document_id.",Alta,7.01,,"GPT-5.3 Codex Extra High (cerebro) | Max ON","GPT-5.3 Codex Extra High (cerebro) | Max ON","GPT-5.3 Codex High (cerebro) | Debug | Max OFF"
